"player","team","position","height","weight","age","experience","salary","points3","points2","points1","total_rebounds","assists","blocks","turnovers"
"Bam Adebayo","MIA","C",81,255,24,4,28103550,0,406,256,564,190,44,148
"Caleb Martin","MIA","SF",77,205,26,2,527615,64,144,71,230,64,30,52
"Chris Silva","MIA","PF",80,234,25,2,383720,0,8,10,35,7,1,8
"Dewayne Dedmon","MIA","C",84,245,32,8,2389641,19,145,75,386,47,42,70
"Duncan Robinson","MIA","SG",79,215,27,3,15560000,232,58,51,203,129,14,60
"Gabe Vincent","MIA","PG",75,200,25,2,1669178,119,95,44,126,210,12,98
"Haywood Highsmith","MIA","SF",79,220,25,1,547701,9,7,2,26,6,3,3
"Javonte Smart","MIA","PG",76,205,22,0,0,4,4,0,5,2,1,2
"Jimmy Butler","MIA","SF",79,230,32,10,36016200,27,371,396,336,312,27,121
"Kyle Guy","MIA","SG",73,167,24,2,191860,14,12,8,17,17,1,13
"Kyle Lowry","MIA","PG",72,196,35,15,26984128,144,132,148,282,474,17,168
"Marcus Garrett","MIA","SG",77,205,23,0,0,1,4,2,23,7,3,2
"Markieff Morris","MIA","PF",81,245,32,10,2641691,13,41,8,45,23,1,20
"Max Strus","MIA","SF",77,215,25,2,1669178,181,68,42,202,92,16,57
"Mychal Mulder","MIA","PG",75,184,27,2,0,4,0,2,3,2,1,0
"Nik Stauskas","MIA","SG",78,205,28,5,111457,2,1,3,3,1,0,0
"Omer Yurtseven","MIA","C",84,264,23,0,1489065,1,129,38,294,49,20,41
"P.J. Tucker","MIA","PF",77,245,36,10,7e+06,80,127,45,387,149,15,66
"Tyler Herro","MIA","SG",77,195,22,2,4004280,175,326,190,329,263,8,174
"Udonis Haslem","MIA","C",80,235,41,18,2641691,1,13,3,25,4,1,5
"Victor Oladipo","MIA","SG",76,213,29,8,2389641,15,20,14,23,28,1,16
"Aaron Nesmith","BOS","SF",77,215,22,1,3631200,31,41,21,89,22,5,31
"Al Horford","BOS","C",81,240,35,14,2.7e+07,89,177,80,530,232,92,65
"Brodric Thomas","BOS","SG",77,185,25,1,0,2,6,3,10,11,1,6
"C.J. Miles","BOS","SG",78,220,34,15,151821,0,0,0,0,0,0,0
"Daniel Theis","BOS","C",80,245,29,4,8280351,10,57,22,98,21,14,15
"Derrick White","BOS","SG",76,190,27,4,15178571,34,60,64,88,92,16,32
"Grant Williams","BOS","PF",78,236,23,2,2617800,106,99,86,274,78,57,62
"Jabari Parker","BOS","PF",80,245,26,7,1168288,8,10,9,28,6,1,8
"Jaylen Brown","BOS","SF",78,223,25,5,24830357,166,410,241,404,231,18,178
"Jayson Tatum","BOS","SF",80,210,23,4,28103550,230,478,400,609,334,49,217
"Joe Johnson","BOS","SG",79,240,40,17,151821,0,1,0,0,0,0,0
"Justin Jackson","BOS","SF",80,220,26,4,102831,0,0,2,0,0,0,0
"Juwan Morgan","BOS","PF",79,232,24,2,115116,0,0,0,0,0,0,0
"Kelan Martin","BOS","SF",77,230,26,2,191860,0,0,0,2,0,0,0
"Luke Kornet","BOS","C",86,250,26,4,606702,0,12,2,25,8,2,0
"Malik Fitts","BOS","PF",80,230,24,1,402218,3,3,0,7,5,0,0
"Marcus Smart","BOS","PG",75,220,27,7,13839285,119,181,142,270,417,18,159
"Matt Ryan","BOS","SF",79,215,24,0,0,1,0,0,0,0,0,0
"Payton Pritchard","BOS","PG",73,195,24,1,2137440,101,59,21,134,139,6,41
"Robert Williams","BOS","C",81,237,24,3,3661976,0,271,65,588,121,134,63
"Sam Hauser","BOS","SF",80,215,24,0,313737,19,4,0,29,10,2,2
"Bobby Portis","MIL","C",82,250,26,6,4347600,133,284,85,657,86,51,90
"Brook Lopez","MIL","C",84,282,33,13,13302325,19,42,20,53,6,15,12
"DeAndre' Bembry","MIL","SF",77,210,27,5,601867,0,3,0,11,6,0,1
"DeMarcus Cousins","MIL","C",82,270,31,10,607285,13,42,31,98,18,8,16
"George Hill","MIL","PG",76,188,35,13,4e+06,41,77,57,155,120,6,41
"Georgios Kalaitzakis","MIL","SF",80,192,23,0,462629,2,3,4,8,0,1,4
"Giannis Antetokounmpo","MIL","PF",84,242,27,8,39344970,71,618,553,778,388,91,219
"Grayson Allen","MIL","SG",76,198,26,3,4054695,159,96,64,222,100,18,43
"Greg Monroe","MIL","C",83,265,31,9,138019,0,11,5,21,2,2,3
"Javin DeLaurier","MIL","C",82,237,23,0,53176,0,0,0,1,0,0,0
"Jeff Dowtin","MIL","PG",75,185,24,0,53176,0,0,0,0,0,0,0
"Jevon Carter","MIL","PG",73,200,26,3,457149,24,16,8,43,50,4,8
"Jordan Nwora","MIL","SF",80,225,23,1,1517981,79,107,36,221,59,17,57
"Jrue Holiday","MIL","PG",75,205,31,12,30133333,132,346,137,301,457,29,183
"Justin Robinson","MIL","PG",73,195,24,2,0,10,8,2,13,21,0,11
"Khris Middleton","MIL","SF",79,222,30,9,35500000,162,290,259,356,358,18,190
"Langston Galloway","MIL","SG",73,200,30,7,128709,0,1,0,10,7,0,1
"Lindell Wigginton","MIL","PG",74,189,23,0,0,9,17,19,25,23,1,12
"Pat Connaughton","MIL","SF",77,209,29,6,5333333,146,81,45,273,82,15,35
"Rayjon Tucker","MIL","SG",75,209,24,2,28779,3,2,2,4,6,0,1
"Sandro Mamukelashvili","MIL","PF",83,240,22,0,0,22,35,18,82,22,9,15
"Serge Ibaka","MIL","C",82,235,32,12,9720900,13,41,12,100,13,7,10
"Thanasis Antetokounmpo","MIL","SF",78,219,29,3,1729217,2,68,29,101,22,12,26
"Wesley Matthews","MIL","SG",76,220,35,12,1958501,53,34,22,92,36,8,18
"Aaron Henry","PHI","SF",78,210,22,0,0,0,1,0,1,0,2,2
"Braxton Key","PHI","SF",80,230,24,0,53176,0,1,0,2,1,0,2
"Charles Bassey","PHI","C",83,235,21,0,925258,0,30,9,62,7,17,8
"Danny Green","PHI","SF",78,215,34,12,1e+07,103,23,11,157,64,37,45
"DeAndre Jordan","PHI","C",83,265,33,13,592103,0,32,10,92,8,9,16
"Furkan Korkmaz","PHI","SG",79,202,24,4,4629630,77,105,68,175,127,9,48
"Georges Niang","PHI","PF",79,230,28,5,3300000,156,90,52,203,102,13,59
"Isaiah Joe","PHI","SG",76,165,22,1,1517981,45,17,29,56,35,3,19
"Jaden Springer","PHI","SG",76,204,19,0,2023680,0,1,0,2,0,2,1
"James Harden","PHI","PG",77,220,32,12,44310840,46,69,166,149,220,5,72
"Joel Embiid","PHI","C",84,280,27,5,31579390,93,573,654,796,284,99,214
"Matisse Thybulle","PHI","SG",77,201,24,2,2840160,45,105,34,151,75,71,39
"Myles Powell","PHI","PG",74,195,24,0,0,1,4,2,6,3,0,3
"Paul Millsap","PHI","C",79,257,36,15,2641691,2,11,5,25,5,2,8
"Paul Reed","PHI","C",81,210,22,1,1517981,2,52,6,92,16,14,10
"Shake Milton","PHI","SG",77,205,25,3,1846738,43,130,61,142,139,17,44
"Tobias Harris","PHI","PF",80,226,29,10,35995950,101,392,170,496,252,43,116
"Tyler Johnson","PHI","PG",75,186,29,7,128709,3,1,0,6,2,1,1
"Tyrese Maxey","PHI","PG",74,200,21,1,2602920,132,351,213,240,321,32,88
"Willie Cauley-Stein","PHI","C",84,240,28,6,120083,0,0,0,2,1,0,0
"Armoni Brooks","TOR","PG",75,195,23,1,421156,10,1,2,22,13,3,4
"Chris Boucher","TOR","SF",81,200,29,4,7020000,68,200,150,494,25,75,42
"D.J. Wilson","TOR","PF",82,231,25,4,308493,0,11,8,16,5,1,2
"Dalano Banton","TOR","PG",81,204,22,0,925258,13,70,26,124,99,10,53
"Daniel Oturu","TOR","C",80,240,22,1,85578,0,3,3,5,0,2,0
"David Johnson","TOR","SG",77,210,20,0,0,0,0,0,0,0,0,0
"Fred VanVleet","TOR","PG",73,197,27,5,19675926,242,200,194,289,434,35,170
"Isaac Bonga","TOR","SF",80,180,22,3,1729217,1,2,5,7,4,2,2
"Justin Champagnie","TOR","SF",78,200,20,0,0,10,21,9,72,11,4,8
"Khem Birch","TOR","C",81,233,29,4,6350000,0,97,53,239,56,26,29
"Malachi Flynn","TOR","PG",73,175,23,1,2048040,30,42,15,63,70,4,13
"OG Anunoby","TOR","SF",79,232,24,4,16071429,115,194,89,264,125,25,80
"Pascal Siakam","TOR","PF",81,230,27,5,33003936,75,521,284,580,360,42,181
"Precious Achiuwa","TOR","C",80,225,22,1,2711280,56,209,78,473,82,41,84
"Sam Dekker","TOR","PF",81,230,27,4,350000,0,0,0,0,0,0,0
"Scottie Barnes","TOR","PF",81,227,20,0,7280400,58,401,158,557,256,55,136
"Svi Mykhailiuk","TOR","SF",79,205,24,3,1729217,41,50,32,92,45,4,32
"Thaddeus Young","TOR","PF",80,235,33,14,14190000,17,50,13,115,45,11,22
"Tremont Waters","TOR","PG",70,175,24,2,95930,2,1,0,4,7,0,4
"Yuta Watanabe","TOR","SF",81,215,27,3,1762796,27,29,24,92,21,16,19
"Alex Caruso","CHI","SG",76,186,27,4,8604651,42,60,58,148,165,15,57
"Alfonzo McKinnie","CHI","SF",79,215,29,4,1293926,9,15,2,33,5,3,7
"Alize Johnson","CHI","PF",79,212,25,3,705598,0,12,4,36,8,0,8
"Ayo Dosunmu","CHI","SG",77,200,22,0,925258,70,208,53,214,256,29,108
"Coby White","CHI","PG",77,195,21,2,5837760,136,143,78,182,176,11,70
"DeMar DeRozan","CHI","PF",78,220,32,12,2.6e+07,50,724,520,392,374,24,181
"Devon Dotson","CHI","PG",74,185,22,1,0,2,9,5,9,15,0,5
"Javonte Green","CHI","SF",76,205,28,2,1669178,36,140,80,276,60,32,30
"Jordan Bell","CHI","C",80,216,27,4,102831,0,0,0,1,0,0,0
"Lonzo Ball","CHI","PG",78,190,24,4,18604651,110,52,21,190,178,31,82
"Mac McClung","CHI","PG",74,185,23,0,106352,0,1,0,0,0,0,1
"Malcolm Hill","CHI","SF",78,220,26,0,53176,10,9,7,29,7,2,3
"Marko Simonovic","CHI","C",83,216,22,0,925258,1,3,8,10,0,1,2
